Time,Rint_veg (W m-2),Rint_soil (W m-2),Rint_dir(W m-2),Rint_dif (W m-2),Tleaf_sunlit(C),Tleaf_shade(C),Tcanopy,Ep (l h-1),VPD (kPa),Pstem (kPa),Pleaf_sun (kPa),Pleaf_shade (kPa),Gc (mol m-2 s-1),Gs_sun (mol m-2 s-1),Gs_shade (mol m-2 s-1),Pn (micromol plant-1 s-1),Lp mean (kg m-2 s-1 kPa-1),totalFlux (kg m-2 s-1)
2019-06-27 07:00:00,0.0,0.0,0.0,0.0,24.057001451892273,24.057001451892273,24.057001451892273,0.09137331906627852,1.2300004631494197,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,5.6403283374246e-06
2019-06-27 08:00:00,357.24430678420066,13.703209178897698,161.32044954401232,48.97532691085043,38.248083337076174,29.82207056229906,30.363924815456727,0.1049441116633419,2.0065588697989036,-inf,-inf,-inf,0.004000022679512727,0.004000060745646323,0.004000020063343058,22.138597398230807,3.09e-10,6.478031584156908e-06
2019-06-27 09:00:00,528.4865224436892,10.396205524999145,253.2570811025273,42.31109694012426,45.17883926246995,32.024403282996396,33.90144531948572,0.1470182799384696,2.587651323522172,-inf,-inf,-inf,0.00400000012589061,0.004,0.004000000146844206,20.458141488034467,3.09e-10,9.07520246533763e-06
2019-06-27 10:00:00,677.8025546605052,10.446582650100535,329.39271380980927,42.309798603179004,49.26041743118609,33.44725373815624,36.651495743403764,0.1874752974646204,2.974640150085575,-inf,-inf,-inf,0.004,0.004,0.004,19.725604485638243,3.09e-10,1.1572549226211135e-05
2019-06-27 11:00:00,775.8678273252227,11.693615104194926,379.0654921571153,43.007460019673964,52.70550387950217,35.358552624487544,39.52288655246306,0.23517342350049852,3.537620544902188,-inf,-inf,-inf,0.004,0.004,0.004,18.22890542851848,3.09e-10,1.4516877993857933e-05
2019-06-27 12:00:00,821.1491966313608,12.666915891227337,401.94059134785726,43.72494344455986,56.09928218123786,37.38397289412668,42.14605415976662,0.28539194091054704,4.1857643702833744,-inf,-inf,-inf,0.004,0.004,0.004,16.419026952553022,3.09e-10,1.761678647595969e-05
2019-06-27 13:00:00,816.5513968103272,12.399586825728642,399.25579516030984,44.494688144356424,59.071306498946136,38.67691099745799,43.69534554149641,0.3200980367402501,4.5699322185927365,-inf,-inf,-inf,0.004,0.004,0.004,14.990147124588194,3.09e-10,1.975913807038581e-05
2019-06-27 14:00:00,762.1078703717794,11.515273620932405,371.0482791726833,45.66726945114359,56.47814342557465,39.22996081032661,42.93368834402182,0.293531939755951,4.812013403771105,-inf,-inf,-inf,0.004,0.004,0.004,15.379738065547372,3.09e-10,1.8119255540490793e-05
2019-06-27 15:00:00,601.4701857668964,10.75979669057427,289.80010900150256,44.29528798365708,50.400882293869735,38.55267217833075,40.45444030814792,0.2368819442004639,4.645462174379634,-inf,-inf,-inf,0.004,0.004,0.004,16.48257189500127,3.09e-10,1.4622342234596534e-05
2019-06-27 16:00:00,417.6930181025086,12.594086249243132,193.51100046058772,47.31876000016195,44.553829766767684,36.86045379309246,37.52487605598209,0.18769550400306198,4.037462819405416,-inf,-inf,-inf,0.004,0.004,0.004,18.497617401223607,3.09e-10,1.1586142222411234e-05
